timeindex,AT-electricity,BE-electricity,CH-electricity,CZ-electricity,DE-electricity,DK-electricity,FR-electricity,IT-electricity,NL-electricity,NO-electricity,PL-electricity,SE-electricity
2030-05-28 00:00:00,-971.225102279,3988.13665071,-3959.61216907,-141.092690117,2084.9450006900006,1056.836087392,-13789.473684199998,11550.0,3879.3696773750003,4309.005716977,-1494.2197366599999,-8473.684210528
2030-05-28 01:00:00,-954.611745218,3800.0,2115.012035704,-158.580434391,2526.159553646,726.7297345729999,-13789.473684199998,5550.0,3841.47510665,4622.606752156,-1430.01520034,-8473.684210528
2030-05-28 02:00:00,-820.573385819,3800.0,-3399.69007122,69.92961783599998,2485.1410136599998,396.6351065670001,-13789.473684199998,11550.0,3847.26663456,4199.354543497,-1894.3190127540001,-8473.684210528
2030-05-28 03:00:00,-1105.26315789,3800.0,-4074.357781287,1280.3560707709998,1297.062334573,243.87192254699994,-13789.473684199998,11550.0,3661.46072722,5081.32167358,-1462.2800091179997,-8473.684210528
2030-05-28 04:00:00,-1105.26315789,3800.0,-3283.28589853,1731.50388922,-2477.0736705299987,550.6863988569999,-13789.473684199998,11550.0,3514.51150386,4053.0058158169995,1898.95101876,-8473.684210528
2030-05-28 05:00:00,378.9300595499999,4007.877860325,1727.5859489499999,1672.3139853720002,-10183.85938175,1048.937916338,-13789.473684199998,10463.7933485,3292.011462128,4316.508979479,3200.0,-8473.684210528
2030-05-28 06:00:00,3377.5718855430005,3884.2328834787,1305.1407141700001,1339.2620631720001,-15498.070505159998,1067.09583006,-13789.473684199998,11550.0,2946.2008508445997,6399.25896145,3200.0,-8473.684210528
2030-05-28 07:00:00,3388.7924511290003,3628.951665132,888.7912819840003,903.994454442,-14542.005355329002,650.5263157899999,-13789.473684199998,11550.0,2423.120984577,7495.0,3200.0,-8473.684210528
2030-05-28 08:00:00,3396.7344627125,3019.416160108,674.6311858472,1175.296556972,-13212.269811071,588.2013834396998,-13789.473684199998,11550.0,1774.8039743196996,7495.0,3200.0,-8473.684210528
2030-05-28 09:00:00,3417.621623423,2496.379997719,530.9625844299999,1253.429494682,-10938.607714769998,233.7115994169999,-13789.473684199998,11016.703655139001,1070.2174985380002,7495.0,3200.0,-8473.684210528
2030-05-28 10:00:00,2898.5823717290004,2800.0,558.29131366,2968.4210526320003,-11611.952818726597,-180.16164550709982,-13789.473684199998,10968.750222176,584.742933078,7495.0,3200.0,-8473.684210528
2030-05-28 11:00:00,2531.7433410830004,2714.9146476164,642.4950994700002,2968.4210526320003,-10348.065557390999,-629.9093317850002,-13789.473684199998,10938.860947342,184.87604583439997,7495.0,3200.0,-8473.684210528
2030-05-28 12:00:00,2075.70418019,2359.8547320746,525.8460141000005,2968.4210526320003,-9463.488977416,-1124.389944383,-13789.473684199998,11550.0,40.44542405259995,7495.0,3200.0,-8473.684210528
2030-05-28 13:00:00,1948.1830631200005,2129.041530734,706.3971644900003,2968.4210526320003,-9000.593283460004,-1399.5947714480003,-13789.473684199998,11433.92269374,131.06328323599996,7495.0,3200.0,-8473.684210528
2030-05-28 14:00:00,2191.766760488,1722.28867868,893.6401765190003,1381.0244398520001,-8360.2489529,-1381.453985173,-13789.473684199998,11550.0,986.9836499869999,7495.0,3200.0,-8473.684210528
2030-05-28 15:00:00,2913.779574481,1894.818453856,1460.7143629250004,1232.921075172,-11810.47438372,-794.0393011470001,-13789.473684199998,11550.0,2399.823124994,7495.0,3200.0,-8473.684210528
2030-05-28 16:00:00,2473.212874172,2790.17424117552,1013.7569781089996,1645.640106402,-13059.834612251998,-652.2403896810001,-13789.473684199998,11550.0,3843.32505859326,6795.0,3200.0,-8473.684210528
2030-05-28 17:00:00,-652.022177582,3800.0,-5015.78947368,1812.16898099,-1272.8201516699992,-441.31836242300005,-13789.473684199998,11119.421068702999,5100.884399882,3122.121668734,2600.0,-8473.684210528
2030-05-28 18:00:00,0.0,2800.0,-5015.78947368,1922.49099527,1061.2691298500004,-509.1155941930001,-13789.473684199998,10500.0,5990.13015513,2958.157894737,600.0,-8473.684210528
2030-05-28 19:00:00,-753.916719342,2800.0,-5015.78947368,1600.39819214,3018.096974869999,-964.8234844130002,-13789.473684199998,11216.220883375001,6194.51287642,1484.4736842070001,600.0,-8473.684210528
2030-05-28 20:00:00,-1024.15922783,2800.0,-5015.78947368,823.97057678,2685.372902637,-1455.650785923,-13789.473684199998,11472.951266439,6400.0,2958.157894737,600.0,-8473.684210528
2030-05-28 21:00:00,-1105.26315789,3800.0,-5015.78947368,541.493217301,765.8535975229997,-1992.2156340359998,-13789.473684199998,11550.0,5855.03392445,3781.9832044429995,1952.60250609,-8473.684210528
2030-05-28 22:00:00,-1105.26315789,4645.036607722,-499.3486405399999,448.9010916884,-3440.0241625370018,-2420.276340433,-13789.473684199998,11550.0,4910.206887268,5290.032520081,529.8215019122,-8473.684210528
2030-05-28 23:00:00,2592.47279215,4328.7939873020005,3308.11436091,293.529469725,-6829.368473905,-2625.6879321529996,-13789.473684199998,8962.29135714,4294.220107539,5787.144430042999,-303.76213260300005,-8473.684210528
2030-05-29 00:00:00,2454.9724933400003,3971.473307586,2284.21052632,165.686910666,-9681.259184650002,-2381.6773193730005,-13789.473684199998,11550.0,3962.8024521880006,6795.0,425.592725615,-8473.684210528
2030-05-29 01:00:00,2349.8710748900003,3856.0162854102,2284.21052632,95.1742503932,-9222.39938333,-2451.0946436230006,-13789.473684199998,11550.0,3816.1699020718997,6795.0,499.816578534,-8473.684210528
