timeindex;AT-electricity-reservoir-profile;BE-electricity-reservoir-profile;CH-electricity-reservoir-profile;CZ-electricity-reservoir-profile;DE-electricity-reservoir-profile;FR-electricity-reservoir-profile;NO-electricity-reservoir-profile;PL-electricity-reservoir-profile;SE-electricity-reservoir-profile
2030-04-03T09:00:00Z;3874.809462271541;32.40132602053201;14256.588792220587;224.75187644149923;258.10190379926445;4650.656893197647;17670.999362761475;90.89029982780563;5521.103258687938
2030-04-03T10:00:00Z;3873.675191041629;32.35042328633446;14280.156746855386;224.40847290361583;257.56682304991614;4645.267790789988;17620.279842245873;90.78470578142753;5509.70627895844
2030-04-03T11:00:00Z;3872.7857742836427;32.29976198613687;14304.005963661752;224.06586601611107;257.0346349245473;4640.0837998248835;17569.670792526882;90.6795499275337;5498.324688012361
2030-04-03T12:00:00Z;3872.13930469639;32.249340728785796;14328.07876571985;223.7240639013275;256.50534966855275;4635.104962440058;17519.17504308716;90.57483186939446;5486.958938337877
2030-04-03T13:00:00Z;3871.7338749786763;32.199158123127766;14352.317476109833;223.38307468160733;255.97897752732763;4630.331320773237;17468.795423409385;90.47055121028008;5475.6094824231595
2030-04-03T14:00:00Z;3871.56757782931;32.1492127780093;14376.664417911867;223.04290647929275;255.45552874626654;4625.762916962144;17418.5347629762;90.36670755346094;5464.276772756384
2030-04-03T15:00:00Z;3871.6385059470954;32.09950330227697;14401.061914206111;222.7035674167262;254.93501357076448;4621.3997931445;17368.395891270266;90.26330050220723;5452.961261825719
2030-04-03T16:00:00Z;3871.9447520308395;32.05002830477727;14425.452288072735;222.36506561624995;254.4174422462162;4617.241991458032;17318.381637774233;90.1603296597893;5441.663402119339
2030-04-03T17:00:00Z;3872.4844087793504;32.000786394356794;14449.7778625919;222.0274092002063;253.9028250180167;4613.289554040463;17268.494831970776;90.05779462947748;5430.383646125416
2030-04-03T18:00:00Z;3873.2555688914354;31.951776179862023;14473.98096084376;221.69060629093755;253.39117213156086;4609.542523029518;17218.738303342536;89.95569501454204;5419.122446332126
2030-04-03T19:00:00Z;3874.2563250658973;31.902996270139518;14498.003905908483;221.35466501078596;252.88249383224326;4606.000940562916;17169.114881372177;89.85403041825327;5407.880255227636
2030-04-03T20:00:00Z;3875.4847700015457;31.85444527403581;14521.789020866232;221.01959348209394;252.37680036545922;4602.664848778387;17119.627395542368;89.75280044388148;5396.657525300124
2030-04-03T21:00:00Z;3876.9389963971876;31.80612180039745;14545.278628797167;220.68539982720375;251.87410197660338;4599.534289813653;17070.27867533575;89.65200469469703;5385.45470903776
